Date,Ausztralia_PD,Kanada_PD,Kina_PD,Franciaorszag_PD,Nemetorszag_PD,Japan_PD,Hollandia_PD,Del-Korea_PD,Spanyolorszag_PD,Svedorszag_PD,Egyesult Kiralysag_PD,Amerikai Egyesult Allamok_PD
2015-01-01,0.004549502084608,0.0066446264684375,0.0080429878268616,0.0051091107264852,0.0029692256969805,0.0020777093601375,0.0050123588246995,0.0108183809189495,0.0053394017242281,0.0054845352227621,0.0065892222667433,0.0019957692151612
2015-01-02,0.004667988753221,0.0066890007985766,0.0080908706423252,0.0050495611048881,0.0029589355620954,0.0020856065212306,0.0049966368690171,0.010632708826049,0.0053478588626244,0.0054067866832831,0.006375974726723,0.0019844614635607
2015-01-05,0.0047140384011805,0.0067251732515903,0.0082266155974743,0.0051034580631479,0.0029946342203432,0.0021021583626238,0.005031627942958,0.0112762838442611,0.0056441667701229,0.0056766834684659,0.006495279832303,0.0020169347803866
2015-01-06,0.0049668534503281,0.0070639172469609,0.0091141802581998,0.0052815359572547,0.0030661099588684,0.0022790745284234,0.005258748570975,0.0114571035004251,0.0058087444560662,0.0057102870300377,0.0067733425443729,0.0019811342401002
2015-01-07,0.0049154972686421,0.0071758156531885,0.0091330289817362,0.005468441294935,0.0031215111963497,0.0022394177375541,0.0053088023116547,0.0111107780310941,0.005855000426328,0.0055641834318911,0.0067816891065569,0.0019747237153681
2015-01-08,0.0048249876624065,0.0070083111678029,0.0087752450686918,0.0053543076467256,0.0030252999750906,0.0021943814574753,0.0051917509506434,0.0106039214682122,0.005606802572398,0.0054378977182472,0.0065431658337249,0.0019485110063125
2015-01-09,0.0050377274448434,0.0069777546749099,0.0087732285374299,0.005341803103032,0.0029802843764122,0.0021626063299101,0.0051994441672576,0.0106126214003834,0.0056367744333112,0.0053407337820338,0.0066084158560819,0.0019549662391863
2015-01-12,0.0050917979277917,0.0077631716514024,0.0089077513641393,0.0054416057105161,0.0029692372248953,0.002151045632649,0.0054025995182094,0.0107902849252627,0.0054989928384252,0.005351038820194,0.0065897015510963,0.0019594031031943
2015-01-13,0.0052028908596044,0.0080785294109484,0.0092833272703899,0.0052673884691945,0.0029464702423999,0.0021835674889787,0.0053697651663717,0.0112467026895589,0.0055803482486406,0.0054173289029066,0.0066102304379443,0.0020144973016736
2015-01-14,0.0052709561762704,0.0082101452349262,0.0091991608106793,0.0051941894181333,0.0030289369510394,0.0022533184604708,0.0054261958348996,0.0119186907681112,0.0058253997180056,0.0058217816537212,0.006896726851689,0.0020705063767639
2015-01-15,0.0054034141065018,0.0088285831570491,0.0091124567224997,0.0052188636220419,0.0029626544816094,0.0022168065955953,0.0053975821218007,0.0116258937723979,0.0057023392710529,0.0057839982697008,0.0068021185280678,0.0020601355047052
2015-01-16,0.0055223650636411,0.0089002390107107,0.0094153889629744,0.0052161914108387,0.0030405136079782,0.0022589471627634,0.005376690863521,0.0117530130643156,0.0057285709702078,0.0056972330341467,0.0068494738008087,0.0021140750784543
2015-01-19,0.0053957364132184,0.0088041923595101,0.009358440195796,0.0052075813849756,0.0030164536084734,0.0021939841036241,0.0052947151229628,0.0117504639179684,0.005635538823834,0.0056602912273565,0.0068203324144138,0.0021042598084808
